City_ID,lon,temp,temp_max,humidity,wind_speed,lat,date,country,cloudiness
301,-115.7999,-33.01,-33.01,75,2.06,60.8156,1670466859,CA,20
302,128.1814,31.08,31.08,66,3.09,-3.6954,1670466648,ID,20
303,12.6896,0.46,1.57,89,1.01,48.9112,1670466860,DE,97
304,96.1667,22.45,22.45,30,0.96,27.9167,1670466861,IN,23
305,-59.5167,25.03,25.03,87,3.09,13.2167,1670466787,BB,20
306,114.0833,-32.39,-32.39,100,3.29,71.9167,1670466861,RU,100
307,76.5667,16.86,16.86,35,1.08,24.4167,1670466862,IN,4
308,-59.5333,22.05,24.73,88,3.09,13.0667,1670466862,BB,20
309,-75.833,7.51,8.9,90,4.12,42.2506,1670466863,US,100
310,39.7956,-9.85,-9.85,73,5.49,55.1282,1670466863,RU,39
311,49.8164,23.42,23.42,83,5.58,7.9803,1670466863,SO,97
312,59.5386,-22.6,-22.6,93,1.05,50.7587,1670466864,RU,17
313,47.2833,19.66,19.66,95,0.97,-22.8167,1670466801,MG,78
314,10.85,13.78,13.78,35,1.64,30.3333,1670466864,LY,100
315,20.2827,19.06,19.06,25,2.65,11.0297,1670466865,TD,33
316,15.8999,21.09,21.09,97,0.92,-0.4819,1670466865,CG,100
317,107.0303,9.41,9.41,57,0.49,33.0728,1670466866,CN,8
318,25.0865,17.13,17.13,57,3.28,31.7561,1670466866,LY,13
319,-65.3245,21.32,21.32,93,2.48,9.3503,1670466867,VE,96
320,2.3488,3.07,3.95,95,2.06,48.8534,1670466474,FR,100
321,10.347,-5.57,-5.54,98,1.62,46.4631,1670466867,IT,70
322,17.366,20.0,20.0,25,2.15,9.3627,1670466868,TD,70
323,53.3971,2.08,2.08,80,0.66,35.5729,1670466868,IR,19
324,57.6608,25.21,25.22,74,6.26,-20.0064,1670466868,MU,16
325,123.3827,27.5,27.5,71,3.51,12.4841,1670466869,PH,98
326,35.3833,24.3,24.3,85,1.42,-23.865,1670466869,MZ,21
327,98.5174,-4.06,-4.06,56,1.17,39.7432,1670466870,CN,5
328,-73.7833,10.48,10.48,67,0.97,-15.0333,1670466875,PE,95
329,39.0333,11.54,11.54,47,2.35,12.0333,1670466875,ET,0
330,-35.4608,25.56,25.56,80,5.85,-5.1989,1670466876,BR,85
331,109.0172,10.24,10.24,53,0.93,32.68,1670466876,CN,66
332,34.4667,-5.95,-5.95,95,3.41,62.9167,1670466706,RU,100
333,-10.0711,25.48,25.48,34,2.8,20.5022,1670466877,MR,66
334,25.9704,2.86,2.86,75,13.38,70.9821,1670466877,NO,75
335,-158.0072,26.14,26.97,67,9.26,21.3156,1670466592,US,20
336,1.3862,0.53,1.5,90,0.45,51.3813,1670466878,GB,21
337,48.5268,26.23,26.23,81,7.33,5.3505,1670466879,SO,100
338,-66.8654,1.9,3.12,100,1.71,50.0334,1670466879,CA,100
339,-63.1414,24.2,24.2,90,0.96,-4.085,1670466879,BR,93
340,47.6,23.18,23.18,88,1.74,-23.35,1670466880,MG,67
341,34.4509,14.11,14.11,68,1.63,1.3965,1670466880,UG,99
342,-109.0565,-5.4,-4.86,69,1.34,44.5263,1670466881,US,0
343,58.3672,-20.25,-20.25,98,1.38,53.9194,1670466881,RU,12
344,74.9804,-17.66,-17.66,85,7.0,46.844,1670466881,KZ,75
345,-97.0667,26.46,26.46,73,0.0,15.85,1670466882,MX,0
346,-42.0278,23.17,23.17,90,5.91,-22.9661,1670466878,BR,0
347,-6.6363,24.8,24.8,90,1.94,4.7485,1670466882,CI,16
348,23.3716,15.72,15.72,83,1.21,-34.0527,1670466883,ZA,0
349,10.0886,-3.15,-1.77,68,1.23,55.5669,1670466883,DK,99
350,-27.9833,15.41,15.41,77,11.17,39.05,1670466883,PT,74
351,81.2335,23.23,23.23,79,11.48,8.5711,1670466884,LK,100
352,167.7167,12.97,12.97,96,1.24,-45.4167,1670466884,NZ,100
353,-89.3168,-23.05,-23.01,77,2.06,48.4001,1670466885,CA,0
354,-7.1664,-0.49,-0.49,86,10.8,62.1564,1670466885,FO,40
355,143.3525,-0.99,-0.99,64,3.6,44.3525,1670466885,JP,75
356,-78.1522,18.56,18.56,88,2.96,-10.0681,1670466886,PE,98
357,-47.4833,23.32,23.32,84,0.58,-2.9667,1670466886,BR,69
358,-70.7656,23.4,23.4,88,1.06,-8.1614,1670466835,BR,100
359,-70.4833,17.92,17.92,82,0.92,-25.4,1670466886,CL,23
360,-35.1478,24.77,24.77,79,2.97,-8.8978,1670466887,BR,40
361,43.2844,26.23,26.23,77,2.76,-11.3847,1670466887,KM,9
362,156.125,-2.12,-2.12,65,8.54,50.6789,1670466888,RU,85
363,24.7314,19.94,19.94,74,1.79,-34.0033,1670466888,ZA,82
364,-8.3327,12.18,12.26,94,2.89,40.1629,1670466888,PT,100
365,-82.5271,17.63,19.19,83,2.33,33.194,1670466889,US,95
366,55.2,-8.28,-8.28,62,4.28,45.3167,1670466889,KZ,0
367,129.4833,19.51,19.51,58,7.22,28.3667,1670466890,JP,73
368,-79.5389,10.07,11.63,92,3.09,40.3015,1670466665,US,100
369,150.85,-39.92,-39.92,93,3.46,65.75,1670466890,RU,16
